Edit URL,Timestamp,itc_number,DOI of the article,Initials of the reviewer filling the form ,Medical Condition of Interest Name,Countries of first author affiliations,Countries of last author affiliations,"Positions of study investigators (for any authors of the article, any that applies)","At least one author affiliated with a department of Biostatistics, Epidemiology, Public Health, Pharmacoepidemiology, or a Clinical Research unit, or private data analysis company",Mentioned sources of funding,"Ties with pharmaceutical industry mentionned in competing interest/conflict of interest/disclaimer, or any equivalent section in the article",Mention of a systematic review to find the studies to compare treatments of interest,study_number,Patient-level data used,Clinical Trial,NCT (only for clinical trial registered on clinicaltrials.gov),EudraCT (only for clinical trials registered on clinicaltrialsregister.eu,Data source name (only if observational study or clinical trial without NCT),Country where the clinical trial/observational study was conducted (international if more than one),Phase of the clinical trial (clinical trial only),Number of treatment arms (clinical trial only),study_number,Patient-level data used,Clinical Trial,NCT (only for clinical trial registered on clinicaltrials.gov),EudraCT (only for clinical trials registered on clinicaltrialsregister.eu,Data source name (only if observational study or clinical trial without NCT),Country where the clinical trial/observational study was conducted (international if more than one),Phase of the clinical trial (clinical trial only),Number of treatment arms (clinical trial only),study_number,Patient-level data used,Clinical Trial,NCT (only for clinical trial registered on clinicaltrials.gov),EudraCT (only for clinical trials registered on clinicaltrialsregister.eu,Data source name (only if observational study or clinical trial without NCT),Country where the clinical trial/observational study was conducted (international if more than one),Phase of the clinical trial (clinical trial only),Number of treatment arms (clinical trial only),study_number,Patient-level data used,Clinical Trial,NCT (only for clinical trial registered on clinicaltrials.gov),EudraCT (only for clinical trials registered on clinicaltrialsregister.eu,Data source name (only if observational study or clinical trial without NCT),Country where the clinical trial/observational study was conducted (international if more than one),Phase of the clinical trial (clinical trial only),Number of treatment arms (clinical trial only),study_number,Patient-level data used,Clinical Trial,NCT (only for clinical trial registered on clinicaltrials.gov),EudraCT (only for clinical trials registered on clinicaltrialsregister.eu,Data source name (only if observational study or clinical trial without NCT),Country where the clinical trial/observational study was conducted (international if more than one),Phase of the clinical trial (clinical trial only),Number of treatment arms (clinical trial only),Treatment name 1,Study 'number(s)' for treatment 1,Treatment name 2 ,Study 'number(s)' for treatment 2,Type of population-adjusted indirect comparisons performed,Anchored comparison?,Form of the indirect comparison,Definition of a single primary outcome for the indirect comparison,Primary Outcome Name (first one mentioned in the text of the results part if no primary outcome defined),Primary outcome: variable type,Justification for selecting variables to be included in the adjustment model (in the main text),Inclusion of prognostic factors in the adjustment/matching model,Inclusion of treatment-effect modifiers in the adjustment/matching model,"Mention of the MAIC weights estimation model / STC adjustment model details in the main text **or supplemental materials** (ie matching on first moment, second moment, including interaction term, etc)",Discussion of the choice of the scale for the outcome in the main text (ie natural outcome scale vs transformed outcome scale),Sample size of the population of interest in the non IPD treatment arm ,"If anchored comparison, sample size of the population of interest in the non IPD treatment anchor arm",Initial sample size of the population of interest in the IPD treatment arm,"Sample size in the IPD treatment arm used in the indirect comparison, ie effective sample size after reweighting for MAIC; or sample size used in the regression model for STC","If anchored comparison, initial sample size of the population of interest in the IPD anchor arm","If anchored comparison, effective sample size after reweighting for MAIC; or sample size used in the regression model for STC in the IPD anchor arm",Reporting of a weights' distribution evaluation (MAIC),Reporting of the list of the covariates adjusted for/matched on,Number of covariates adjusted for/matched on,Covariates adjusted for/matched on in the indirect comparison,Primary outcome: treatment effect contrast,Direction of the treatment effect contrast: IPD treatment is:,Primary outcome: unadjusted treatment effect,"p-value for the unadjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX-Y.YY])",Primary outcome: adjusted treatment effect,"p-value for the adjusted treatment effect (or 95 CI if pvalue is not provided, written as [X.XX;Y.YY])",Notes,Original Timestamp
,01/08/2022 17:24:48,1,10.1186/s40164-022-00268-z,BZ,Relapsed or refractory diffuse large B-cell lymphoma,France,Canada,"Academic, Private Data Analysis Company",Yes,Pharmaceutical Industry,Yes,No,1,Yes,Yes,NCT02631044,,,US,1,1,2,No,Yes,NCT02445248,,,International,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lisocabtagene maraleucel,1,Tisagenlecleucel,2,MAIC,No,Simple (ie treatments effects extracted from two studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",Objective response rates (ORR),Binary (eg rates),"A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)",Yes,Yes,No,No,03,,256,164,,,No,Yes,6,"Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Past treatments for the disease of interest, Comorbidities and medical history (beside pathology/disease of interest in the comparison)",OR,"Numerator if ratio, or left side if difference",2.49,[1.52-4.07],2.78,[1.63‒4.74],,24/05/2022 16:05:53
,09/06/2022 17:28:46,1,10.1007/s12325-022-02099-0,BZ,Unresectable Hepatocellular Carcinoma,Germany,France,"Academic, Pharmaceutical Industry",Yes,Pharmaceutical Industry,Yes,No,1,Yes,Yes,NCT01482442,,,France,3,2 or more,2,No,Yes,NCT03434379,,,International,3,2 or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transarterial radioembolization using SIR-Spheres® Y-90 resin microspheres,1,Atezolizumab plus Bevacizumab,2,MAIC,Yes,Simple (ie treatments effects extracted from two studies),Yes,Time to deterioration (TTD) in Quality of Life (QoL) ,Time-to-event,"Statistical based (ie pvalue based, that is looking at statistical significant differences between treatment arms), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)",No,Yes,No,Yes,336,165,237,53,222,78,Not mentioned,Yes,4,"Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Performance score",HR,"Numerator if ratio, or left side if difference",,,1.06,0.725,,09/06/2022 15:14:51
,28/07/2022 17:55:41,1,10.2217/fon-2021-1102,BZ,ROS1-positive non-small-cell lung cancer,USA,USA,"Academic, Private Data Analysis Company",Yes,Pharmaceutical Industry,Yes,No,1,Yes,Yes,NCT00585195,,,International,1,1,2,No,Yes,"NCT02097810, NCT02568267]",,ALKA-372-001 [EudraCT 2012-000148-88],Internatiional,"1, 2",1,5,No,No,,,Flatiron Health,USA,,,6,No,No,,,Ontada (Oncology Insights &Technology),USA,,,,,,,,,,,,crizotinib,1,entrectinib ,2,STC,No,"Aggregation of multiple studies to estimate individual treatment effects (e.g. meta-analysis in a first step to estimate treatment A effect, then population adjusted indirect comparison using treatment A effect estimate)","No primary outcome defined, or multiple primary outcomes without any clear distinction between them",Objective response rate (ORR),Binary (eg rates),Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose),Yes,Yes,No,No,161,,53,53,,,,Yes,4,"Age, Sex, Other(s)",RR,"Numerator if ratio, or left side if difference",1.07,[0.88–1.31],1.04,[0.85–1.28],"Les données de 3 essais (ALKA-372-001, STARTRK-1 et STARTRK-2) ont été agrégées pour former le ""bras"" Entrectinib. J'ai dû cocher essais de phase 1 et 2 parce que les 3 essais ne sont pas de la même phase.

Concernant les données des 2 études RWE, les auteurs disent ""Patient datawere obtained from two published crizotinib RWE studies"" ce qui sous-entend des IPD et ""RWE for crizotinib was obtained from published data analyses that used Flatiron Health and OncologyInsights & Technology"" ce qui sous-entend des données agrégés.

J'ai coché ""données agrégés"", car les IPD utilisés sont ceux de l'essai de crizotinib.",09/06/2022 17:28:46
,28/07/2022 17:56:01,2,10.2217/fon-2021-1102,BZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crizotinib,1,crizotinib,3,STC,No,Simple (ie treatments effects extracted from two studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",Progression-free survival,Time-to-event,Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose),No discussion (in the main text) of the status of prognostic factors of the variables,No discussion (in the main text) of the status of treatment-effect modifiers of the variables,No,No,69,,53,53,,,,Yes,2,Other(s),Means difference,"Numerator if ratio, or left side if difference",10.8,,8.3,[0.26-16.94],,10/06/2022 16:52:45
,28/07/2022 17:56:18,3,10.2217/fon-2021-1102,BZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crizotinib,1,crizotinib,4,STC,No,Simple (ie treatments effects extracted from two studies),Yes,median overall survival,Time-to-event,Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose),No discussion (in the main text) of the status of prognostic factors of the variables,No discussion (in the main text) of the status of treatment-effect modifiers of the variables,No,No,38,,53,53,,,Not mentioned,No,,,Means difference,"Numerator if ratio, or left side if difference",15.2,,,-10.5,"Les auteurs ne mentionnent pas la population source pour Flatiron Health et Ontada, j'ai répondu USA (les 2 entreprises sont basées aux USA)",10/06/2022 17:03:51
,28/07/2022 16:55:45,1,10.1001/jamaophthalmol.2021.6284,BZ,Thyroid eye disease :  proptosis and diplopia,USA,USA,"Academic, Private Data Analysis Company",Yes,Pharmaceutical Industry,Yes,Yes,1,Yes,Yes,NCT01868997,,,International,2,2 or more,2,Yes,Yes,NCT03298867,,,International,3,2 or more,3,No,No,,,Meta-analysis from the authors,International,,,,,,,,,,,,,,,,,,,,,Teprotumumab,"1, 2",intravenous methylprednisolone,3,MAIC,No,"Aggregation of multiple studies to estimate individual treatment effects (e.g. meta-analysis in a first step to estimate treatment A effect, then population adjusted indirect comparison using treatment A effect estimate)","No primary outcome defined, or multiple primary outcomes without any clear distinction between them",Changes in proptosis by millimeter,"Continuous (count, mean, ...)","A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)",Yes,Yes,No,No,419,,79,56,,,Not mentioned,Yes,3,"Age, Sex, Other(s)",Means difference,"Numerator if ratio, or left side if difference",,,-2.31,[−3.45;−1.17],"Valeur de la borne supérieure de l'IC de l'outcome négative, ce qui donne un IC sous la forme [-XX - -YY]",10/06/2022 17:18:36
,28/07/2022 17:36:05,1,10.1007/s12325-022-02054-z,BZ,Relapsed or Refractory Follicular Lymphoma,USA,USA,Private Data Analysis Company,Yes,Pharmaceutical Industry,Yes,Yes,1,Yes,Yes,NCT01897571,,,International,"1, 2",1,2,No,Yes,NCT01282424,,,International,2,1,3,No,Yes,NCT01882803,,,International,2,1,4,No,Yes,NCT01660451,,,International,2,1,5,No,Yes, NCT02793583,,,International,2,2 or more,Tazemetostat,1,Idelalisib,2,MAIC,No,Simple (ie treatments effects extracted from two studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",Incidence of any grade ≥ 3 treatment-emergent adverse event,Binary (eg rates),"A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)",Yes,Yes,No,No,72,,99,36,,,Not mentioned,Yes,8,"Age, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Past treatments for the disease of interest",RR,"Numerator if ratio, or left side if difference","0,59",< 0.001,0.45,< 0.001,,13/06/2022 12:41:16
,28/07/2022 17:36:43,2,10.1007/s12325-022-02054-z,BZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tazemetostat  ,1,Duvelisib,3,MAIC,No,Simple (ie treatments effects extracted from two studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",Incidence of any grade ≥ 3 treatment-emergent adverse event,Binary (eg rates),"A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)",Yes,Yes,No,No,129,,99,24,,,Not mentioned,Yes,8,"Age, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Past treatments for the disease of interest",RR,"Numerator if ratio, or left side if difference","0,45",< 0.001,0.35,< 0.001,,13/06/2022 17:55:32
,28/07/2022 17:37:00,3,10.1007/s12325-022-02054-z,BZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tazemetostat,1,Copanlisib,4,MAIC,No,Simple (ie treatments effects extracted from two studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",Incidence of any grade ≥ 3 treatment-emergent adverse event,Binary (eg rates),"A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)",Yes,Yes,No,No,142,,99,66,,,Not mentioned,Yes,8,"Age, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Past treatments for the disease of interest",RR,"Numerator if ratio, or left side if difference","0,47",< 0.001,"0,37",< 0.001,,13/06/2022 18:04:23
,28/07/2022 17:37:18,4,10.1007/s12325-022-02054-z,BZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tazemetostat,1,Umbralisib,5,MAIC,No,Simple (ie treatments effects extracted from two studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",Incidence of any grade ≥ 3 treatment-emergent adverse event ,Binary (eg rates),"A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)",Yes,Yes,No,No,208,,99,60,,,Not mentioned,Yes,8,"Age, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Past treatments for the disease of interest",RR,"Numerator if ratio, or left side if difference","0,47",< 0.05,"0,65",< 0.01,,13/06/2022 18:09:44
,16/06/2022 12:53:02,1,10.2217/imt-2021-0273,BZ,metastatic non-small-cell lung cancer with PD-L1,USA,USA,"Academic, Pharmaceutical Industry, Private Data Analysis Company",Yes,Pharmaceutical Industry,Yes,Yes,1,Yes,Yes,NCT02142738,,,,3,2 or more,2,Yes,Yes,NCT02220894,,,,3,2 or more,3,No,Yes,NCT02477826,,,,3,2 or more,,,,,,,,,,,,,,,,,,,Pembrolizumab,"1, 2",Nivolumab+ipilimumab ,3,MAIC,Yes,"Aggregation of multiple studies to estimate individual treatment effects (e.g. meta-analysis in a first step to estimate treatment A effect, then population adjusted indirect comparison using treatment A effect estimate)","No primary outcome defined, or multiple primary outcomes without any clear distinction between them",Overall survival,Time-to-event,"Statistical based (ie pvalue based, that is looking at statistical significant differences between treatment arms), A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)",No discussion (in the main text) of the status of prognostic factors of the variables,Yes,No,No,793,,1428,993,,,Not mentioned,Yes,8,"Age, Sex, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Race/ethnicity, Performance score, Other(s)",HR,"Numerator if ratio, or left side if difference","0,98",,"1,07",617,Affectf donné par les auteurs= effectif du bras traitement d'interet + effectif du comparateur,13/06/2022 18:13:48
,16/06/2022 16:44:05,1,10.2217/cer-2021-0178,BZ,Parkinson’s disease ‘OFF’episodes,USA,USA,"Pharmaceutical Industry, Private Data Analysis Company",Yes,Pharmaceutical Industry,Yes,Yes,1,Yes,Yes,NCT02469090,,,International,3,2 or more,2,No,Yes,NCT02240030,,,International,3,2 or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apomorphine sublingual film ,1,Levodopa inhalation powder,2,MAIC,Yes,Simple (ie treatments effects extracted from two studies),Yes,"The mean change in the UPDRS Part III score at week 12 from predose to the following timepoints postdose: 15 (apomorphine sublingual film) or 20 (levodopa),30 and 60 min.","Continuous (count, mean, ...)","Statistical based (ie pvalue based, that is looking at statistical significant differences between treatment arms), A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion)",No discussion (in the main text) of the status of prognostic factors of the variables,Yes,No,No,114,112,,44,,37,Not mentioned,Yes,4,"Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Performance score",Means difference,"Numerator if ratio, or left side if difference",0.57,0.818,0.15,0.953,J'ai rempli la partie résultats avec les différences du score à 15/20 min vu que c'est le premier donné dans le tableau.,16/06/2022 12:53:02
,28/07/2022 16:52:23,1,10.1080/03007995.2022.2030112,BZ,Hypertension suboptimally controlled by amlodipine 5 mg monotherapy,Germany,Germany,Pharmaceutical Industry,Yes,Pharmaceutical Industry,Yes,Yes,1,Yes,Yes,,,EudraCT Number : 2019-000751-13,Poland,3,2 or more,2,No,Yes,NCT00558428,,,International,3,2 or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amlodipine 5 mg + bisoprolol 5 mg ,1,"Amlodipine 10mg,",2,STC,Yes,Simple (ie treatments effects extracted from two studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",change in systolic blood pressures from baseline to following 8 weeks of treatment,"Continuous (count, mean, ...)",Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose),Yes,Yes,Yes,No,261,255,181,178,,179,Not mentioned,Yes,8,"Age, Sex, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Comorbidities and medical history (beside pathology/disease of interest in the comparison)",Means difference,"Numerator if ratio, or left side if difference",-0.3,,-1.6,[-5.3-2.2],,16/06/2022 16:44:05
,17/06/2022 15:57:00,1,10.2217/cer-2021-0216,BZ,spinal muscularatrophy,Switzerland,UK,"Pharmaceutical Industry, Private Data Analysis Company",Yes,Pharmaceutical Industry,Yes,Yes,1,Yes,Yes,NCT02913482,,,International,"2, 3",1,3,No,Yes,NCT02193074,,,International,3,2 or more,5,No,Yes,NCT03306277,,,,3,1,,,,,,,,,,,,,,,,,,, Risdiplam,1,nusinersen,2,MAIC,No,Simple (ie treatments effects extracted from two studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",Event-free surviva,Time-to-event,"A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)",Yes,Yes,No,No,121,,58,36.5,,,"Yes, mentions that the weights distribution has been studied, but weights distribution not reported",Yes,3,"Age, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Performance score",HR,"Numerator if ratio, or left side if difference",0.24,[0.09;0.46],0.2,[0.06;0.42],,16/06/2022 18:15:53
,17/06/2022 16:12:49,2,10.2217/cer-2021-0216,BZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Risdiplam,1,Onasemnogeneabeparvovec,3,STC,No,Simple (ie treatments effects extracted from two studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",Event-free survival,Time-to-event,"A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)",Yes,Yes,No,No,22,,58,58,,,,Yes,2,"Age, Performance score",HR,"Numerator if ratio, or left side if difference",1.53,[0.721;2.665],0.94,[0.03;4.06],,17/06/2022 15:57:00
,17/06/2022 16:56:37,3,10.2217/cer-2021-0216,BZ,spinal muscularatrophy,,,,,,,,2,Yes,Yes,NCT02908685,,,International,"2, 3",2 or more,4,No,Yes,NCT02292537,,,International,3,2 or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,risdiplam,1,Nusinersen,2,MAIC,Yes,Simple (ie treatments effects extracted from two studies),"No primary outcome defined, or multiple primary outcomes without any clear distinction between them",The 12-month RULM (Revised Upper limb Module) score change from baseline,"Continuous (count, mean, ...)","A priori expert-knowledge (clinically or methodologically relevant to adjust on these variables based on experts/clinicians opinion), Literature based (clinically or methodologically relevant to adjust on these variables based on the literature search conducted for this specific purpose)",No discussion (in the main text) of the status of prognostic factors of the variables,Yes,No,No,84,42,120,28.3,60,8.8,"Yes, mentions that the weights distribution has been studied, and weights distribution reported in main article or supplemental materials",Yes,3,"Age, Disease severity/disease history (ie past conditions or symptoms directly related to the disease of interest, eg history of venous thromboembolism in sickle cell disease), Performance score",Means difference,"Numerator if ratio, or left side if difference",,,-0.49,[-3.33;2.53],,17/06/2022 16:12:49
